m,p,lambda,fam,T,Z,ratio,mu,dictatorship,maximal
1,0.25,0.333333333333,0,0,0,0,0,0,"[]"
1,0.25,0.333333333333,1,-0,1,1,0.75,1,"[()]"
1,0.285714285714,0.4,0,0,0,0,0,0,"[]"
1,0.285714285714,0.4,1,-0,1,1,0.714285714286,1,"[()]"
1,0.3,0.428571428571,0,0,0,0,0,0,"[]"
1,0.3,0.428571428571,1,-0,1,1,0.7,1,"[()]"
1,0.333333333333,0.5,0,0,0,0,0,0,"[]"
1,0.333333333333,0.5,1,-0,1,1,0.666666666667,1,"[()]"
2,0.25,0.333333333333,0,0,0,0,0,0,"[]"
2,0.25,0.333333333333,1,-0,1,0.75,0.5625,0,"[()]"
2,0.25,0.333333333333,5,-0,1.33333333333,1,0.75,1,"[(2,)]"
2,0.25,0.333333333333,3,-0,1.33333333333,1,0.75,1,"[(1,)]"
2,0.285714285714,0.4,0,0,0,0,0,0,"[]"
2,0.285714285714,0.4,1,-0,1,0.714285714286,0.510204081633,0,"[()]"
2,0.285714285714,0.4,5,-0,1.4,1,0.714285714286,1,"[(2,)]"
2,0.285714285714,0.4,3,-0,1.4,1,0.714285714286,1,"[(1,)]"
2,0.3,0.428571428571,0,0,0,0,0,0,"[]"
2,0.3,0.428571428571,1,-0,1,0.7,0.49,0,"[()]"
2,0.3,0.428571428571,5,-0,1.42857142857,1,0.7,1,"[(2,)]"
2,0.3,0.428571428571,3,-0,1.42857142857,1,0.7,1,"[(1,)]"
2,0.333333333333,0.5,0,0,0,0,0,0,"[]"
2,0.333333333333,0.5,1,-0,1,0.666666666667,0.444444444444,0,"[()]"
2,0.333333333333,0.5,5,-0,1.5,1,0.666666666667,1,"[(2,)]"
2,0.333333333333,0.5,3,-0,1.5,1,0.666666666667,1,"[(1,)]"
3,0.25,0.333333333333,0,0,0,0,0,0,"[]"
3,0.25,0.333333333333,1,-0,1,0.5625,0.421875,0,"[()]"
3,0.25,0.333333333333,17,-0,1.33333333333,0.75,0.5625,0,"[(3,)]"
